doi,title,journal,year,cites,areas
10.3390/en14217206,Battery State-of-Health Estimation Using Machine Learning and Preprocessing with Relative State-of-Charge,Energies,2021,71,Health estimation (SOH);Second life;State estimation (SOC)
10.1016/j.est.2020.101400,Comparative study of curve determination methods for incremental capacity analysis and state of health estimation of lithium-ion battery,Journal of Energy Storage,2020,71,Health estimation (SOH)
10.1016/j.est.2021.103804,An encoder-decoder model based on deep learning for state of health estimation of lithium-ion battery,Journal of Energy Storage,2022,70,Health estimation (SOH);State estimation (SOC);Transfer learning
10.1016/j.apenergy.2021.118114,Unlocking electrochemical model-based online power prediction for lithium-ion batteries via Gaussian process regression,Applied Energy,2022,70,Health estimation (SOH)
10.1016/j.est.2021.102756,Fast charging for electric vehicles applications: Numerical optimization of a multi-stage charging protocol for lithium-ion battery and impact on cycle life,Journal of Energy Storage,2021,69,Charging control
10.1016/j.ijplas.2021.103072,Recurrent neural network modeling of the large deformation of lithium-ion battery cells,International Journal of Plasticity,2021,69,Physics-informed
10.1016/j.est.2023.106797,State of Health Assessment of Lithium-ion Batteries Based on Deep Gaussian Process Regression Considering Heterogeneous Features,Journal of Energy Storage,2023,69,Health estimation (SOH)
10.1016/j.applthermaleng.2019.114816,Core temperature estimation of lithium-ion battery for EVs using Kalman filter,Applied Thermal Engineering,2020,69,Thermal management
10.1093/ce/zkad054,Electric vehicle battery capacity degradation and health estimation using machine-learning techniques: a review,Clean Energy,2023,68,Benchmarks & data;Cross-cutting;Interpretability;Second life;Thermal management
10.1016/j.est.2022.104980,Precise equivalent circuit model for Li-ion battery by experimental improvement and parameter optimization,Journal of Energy Storage,2022,68,Other
10.1016/j.energy.2023.127890,Mechanics-based state of charge estimation for lithium-ion pouch battery using deep learning technique,Energy,2023,66,State estimation (SOC)
10.1016/j.energy.2023.126726,State of health estimation for lithium-ion batteries on few-shot learning,Energy,2023,66,Health estimation (SOH)
10.1016/j.energy.2022.123537,Adaptive online capacity prediction based on transfer learning for fast charging lithium-ion batteries,Energy,2022,65,Charging control
10.3390/en14092634,Design of an Effective State of Charge Estimation Method for a Lithium-Ion Battery Pack Using Extended Kalman Filter and Artificial Neural Network,Energies,2021,65,State estimation (SOC)
10.1016/j.jpowsour.2024.235015,Advancing battery safety: Integrating multiphysics and machine learning for thermal runaway prediction in lithium-ion battery module,Journal of Power Sources,2024,65,Thermal management
10.1016/j.eswa.2023.120444,Digital twin for electric vehicle battery management with incremental learning,Expert Systems with Applications,2023,64,Thermal management
10.3390/math10060888,Lithium-Ion Battery Estimation in Online Framework Using Extreme Gradient Boosting Machine Learning Approach,Mathematics,2022,63,Cell balancing & ECM;Digital twins;Fault & safety;Health estimation (SOH)
10.3390/batteries9070358,State of Charge Estimation for Lithium-Ion Battery Based on Unscented Kalman Filter and Long Short-Term Memory Neural Network,Batteries,2023,63,Physics-informed;State estimation (SOC)
10.1016/j.energy.2023.129061,State of health estimation of the lithium-ion power battery based on the principal component analysis-particle swarm optimization-back propagation neural network,Energy,2023,63,Physics-informed
10.1016/j.est.2023.108043,Identification of fractional-order equivalent circuit model of lithium-ion battery for improving estimation of state of charge,Journal of Energy Storage,2023,62,Other
10.1016/j.est.2021.102271,A voltage reconstruction model based on partial charging curve for state-of-health estimation of lithium-ion batteries,Journal of Energy Storage,2021,62,Health estimation (SOH)
10.1016/j.est.2021.102466,Optimization of charging strategy for lithium-ion battery packs based on complete battery pack model,Journal of Energy Storage,2021,61,Charging control
10.1016/j.asoc.2022.109615,Online state-of-health estimation of lithium-ion battery based on relevance vector machine with dynamic integration,Applied Soft Computing,2022,61,Health estimation (SOH)
10.1109/access.2021.3092743,Lithium-Ion Battery Ageing Behavior Pattern Characterization and State-of-Health Estimation Using Data-Driven Method,IEEE Access,2021,61,Health estimation (SOH);Thermal management
10.3390/forecast5030032,Data-Driven Methods for the State of Charge Estimation of Lithium-Ion Batteries: An Overview,Forecasting,2023,61,Thermal management
10.1016/j.energy.2022.126109,Life prediction model for lithium-ion battery considering fast-charging protocol,Energy,2023,59,Charging control
10.1016/j.est.2023.108034,Optimization of hybrid pulse power characterization profile for equivalent circuit model parameter identification of Li-ion battery based on Taguchi method,Journal of Energy Storage,2023,58,Other
10.1038/s41524-023-01039-y,Detecting lithium plating dynamics in a solid-state battery with operando X-ray computed tomography using machine learning,npj Computational Materials,2023,58,Fault & safety
